Tournament,Group,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Result,GR
Argentina 1978,4,4,Iran,3,0,1,2,2,8,-6,1,Eliminated,
Argentina 1978,A,1,Netherlands,3,2,1,0,9,4,+5,5,Advance to final,
Argentina 1978,A,2,Italy,3,1,1,1,2,2,0,3,Advance to match for third place,
Argentina 1978,A,3,West Germany,3,0,2,1,4,5,-1,2,Eliminated,
Argentina 1978,A,4,Austria,3,1,0,2,4,8,-4,2,Eliminated,
Argentina 1978,B,1,Argentina,3,2,1,0,8,0,+8,5,Advance to final,
Argentina 1978,B,2,Brazil,3,2,1,0,6,1,+5,5,Advance to match for third place,
Argentina 1978,B,3,Poland,3,1,0,2,2,5,-3,2,Eliminated,
Argentina 1978,B,4,Peru,3,0,0,3,0,10,-10,0,Eliminated,
Spain 1982,1,1,Poland,3,1,2,0,5,1,+4,4,Advance to second round,
Spain 1982,1,2,Italy,3,0,3,0,2,2,0,3,Advance to second round,
Spain 1982,1,3,Cameroon,3,0,3,0,1,1,0,3,Eliminated,
Spain 1982,1,4,Peru,3,0,2,1,2,6,-4,2,Eliminated,
Spain 1982,2,1,West Germany,3,2,0,1,6,3,+3,4,Advance to second round,
Spain 1982,2,2,Austria,3,2,0,1,3,1,+2,4,Advance to second round,
Spain 1982,2,3,Algeria,3,2,0,1,5,5,0,4,Eliminated,
Spain 1982,2,4,Chile,3,0,0,3,3,8,-5,0,Eliminated,
Spain 1982,3,1,Belgium,3,2,1,0,3,1,+2,5,Advance to second round,
Spain 1982,3,2,Argentina,3,2,0,1,6,2,+4,4,Advance to second round,
Spain 1982,3,3,Hungary,3,1,1,1,12,6,+6,3,Eliminated,
Spain 1982,3,4,El Salvador,3,0,0,3,1,13,-12,0,Eliminated,
Spain 1982,4,1,England,3,3,0,0,6,1,+5,6,Advance to second round,
Spain 1982,4,2,France,3,1,1,1,6,5,+1,3,Advance to second round,
Spain 1982,4,3,Czechoslovakia,3,0,2,1,2,4,-2,2,Eliminated,
Spain 1982,4,4,Kuwait,3,0,1,2,2,6,-4,1,Eliminated,
Spain 1982,5,1,Northern Ireland,3,1,2,0,2,1,+1,4,Advance to second round,
Spain 1982,5,2,Spain,3,1,1,1,3,3,0,3,Advance to second round,
Spain 1982,5,3,Yugoslavia,3,1,1,1,2,2,0,3,Eliminated,
Spain 1982,5,4,Honduras,3,0,2,1,2,3,-1,2,Eliminated,
Spain 1982,6,1,Brazil,3,3,0,0,10,2,+8,6,Advance to second round,
Spain 1982,6,2,Soviet Union,3,1,1,1,6,4,+2,3,Advance to second round,
Spain 1982,6,3,Scotland,3,1,1,1,8,8,0,3,Eliminated,
Spain 1982,6,4,New Zealand,3,0,0,3,2,12,-10,0,Eliminated,
Spain 1982,A,1,Poland,2,1,1,0,3,0,+3,3,Advance to knockout stage,
Spain 1982,A,2,Soviet Union,2,1,1,0,1,0,+1,3,Eliminated,
Spain 1982,A,3,Belgium,2,0,0,2,0,4,-4,0,Eliminated,
Spain 1982,B,1,West Germany,2,1,1,0,2,1,+1,3,Advance to knockout stage,
Spain 1982,B,2,England,2,0,2,0,0,0,0,2,Eliminated,
Spain 1982,B,3,Spain,2,0,1,1,1,2,-1,1,Eliminated,
Spain 1982,C,1,Italy,2,2,0,0,5,3,+2,4,Advance to knockout stage,
Spain 1982,C,2,Brazil,2,1,0,1,5,4,+1,2,Eliminated,
Spain 1982,C,3,Argentina,2,0,0,2,2,5,-3,0,Eliminated,
Spain 1982,D,1,France,2,2,0,0,5,1,+4,4,Advance to knockout stage,
Spain 1982,D,2,Austria,2,0,1,1,2,3,-1,1,Eliminated,
Spain 1982,D,3,Northern Ireland,2,0,1,1,3,6,-3,1,Eliminated,
Mexico 1986,A,1,Argentina,3,2,1,0,6,2,+4,5,Advance to knockout stage,
