Group_ID,Team_ID,Tournament_ID,Tournament,Group,GSRound,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Result,GR
74,HUN,CHI-62,Chile 1962,4,1,1,Hungary,3,2,1,0,8,2,0,5,Advanced,4.0
75,ENG,CHI-62,Chile 1962,4,1,2,England,3,1,1,1,4,3,0,3,Advanced,1.333
76,ARG,CHI-62,Chile 1962,4,1,3,Argentina,3,1,1,1,2,3,0,3,Eliminated,0.667
77,BUL,CHI-62,Chile 1962,4,1,4,Bulgaria,3,0,1,2,1,7,0,1,Eliminated,0.143
78,ENG,ENG-66,England 1966,1,1,1,England,3,2,1,0,4,0,0,5,Advanced,—
79,URU,ENG-66,England 1966,1,1,2,Uruguay,3,1,2,0,2,1,0,4,Advanced,2.000
80,MEX,ENG-66,England 1966,1,1,3,Mexico,3,0,2,1,1,3,0,2,Eliminated,0.333
81,FRA,ENG-66,England 1966,1,1,4,France,3,0,1,2,2,5,0,1,Eliminated,0.400
82,WES,ENG-66,England 1966,2,1,1,West Germany,3,2,1,0,7,1,0,5,Advanced,7.0
83,ARG,ENG-66,England 1966,2,1,2,Argentina,3,2,1,0,4,1,0,5,Advanced,4.0
84,SPA,ENG-66,England 1966,2,1,3,Spain,3,1,0,2,4,5,0,2,Eliminated,0.8
85,SWI,ENG-66,England 1966,2,1,4,Switzerland,3,0,0,3,1,9,0,0,Eliminated,0.111
86,POR,ENG-66,England 1966,3,1,1,Portugal,3,3,0,0,9,2,0,6,Advanced,4.5
87,HUN,ENG-66,England 1966,3,1,2,Hungary,3,2,0,1,7,5,0,4,Advanced,1.4
88,BRA,ENG-66,England 1966,3,1,3,Brazil,3,1,0,2,4,6,0,2,Eliminated,0.667
89,BUL,ENG-66,England 1966,3,1,4,Bulgaria,3,0,0,3,1,8,0,0,Eliminated,0.125
90,SOV,ENG-66,England 1966,4,1,1,Soviet Union,3,3,0,0,6,1,0,6,Advanced,6.0
91,NKO,ENG-66,England 1966,4,1,2,North Korea,3,1,1,1,2,4,0,3,Advanced,0.5
92,ITA,ENG-66,England 1966,4,1,3,Italy,3,1,0,2,2,2,0,2,Eliminated,1.0
93,CHI,ENG-66,England 1966,4,1,4,Chile,3,0,1,2,2,5,0,1,Eliminated,0.4
94,SOV,MEX-70,Mexico 1970,1,1,1,Soviet Union,3,2,1,0,6,1,5,5,Advanced,
95,MEX,MEX-70,Mexico 1970,1,1,2,Mexico,3,2,1,0,5,0,5,5,Advanced,
96,BEL,MEX-70,Mexico 1970,1,1,3,Belgium,3,1,0,2,4,5,-1,2,Eliminated,
97,SAL,MEX-70,Mexico 1970,1,1,4,El Salvador,3,0,0,3,0,9,-9,0,Eliminated,
98,ITA,MEX-70,Mexico 1970,2,1,1,Italy,3,1,2,0,1,0,1,4,Advanced,
99,URU,MEX-70,Mexico 1970,2,1,2,Uruguay,3,1,1,1,2,1,1,3,Advanced,
100,SWE,MEX-70,Mexico 1970,2,1,3,Sweden,3,1,1,1,2,2,0,3,Eliminated,
101,ISR,MEX-70,Mexico 1970,2,1,4,Israel,3,0,2,1,1,3,-2,2,Eliminated,
102,BRA,MEX-70,Mexico 1970,3,1,1,Brazil,3,3,0,0,8,3,5,6,Advanced,
103,ENG,MEX-70,Mexico 1970,3,1,2,England,3,2,0,1,2,1,1,4,Advanced,
104,ROM,MEX-70,Mexico 1970,3,1,3,Romania,3,1,0,2,4,5,-1,2,Eliminated,
105,CZE,MEX-70,Mexico 1970,3,1,4,Czechoslovakia,3,0,0,3,2,7,-5,0,Eliminated,
106,WES,MEX-70,Mexico 1970,4,1,1,West Germany,3,3,0,0,10,4,6,6,Advanced,
107,PER,MEX-70,Mexico 1970,4,1,2,Peru,3,2,0,1,7,5,2,4,Advanced,
108,BUL,MEX-70,Mexico 1970,4,1,3,Bulgaria,3,0,1,2,5,9,-4,1,Eliminated,
109,MOR,MEX-70,Mexico 1970,4,1,3,Morocco,3,0,1,2,2,6,-4,1,Eliminated,
110,EAS,WES-74,West Germany 1974,1,1,1,East Germany,3,2,1,0,4,1,3,5,Advanced,
111,WES,WES-74,West Germany 1974,1,1,2,West Germany,3,2,0,1,4,1,3,4,Advanced,
112,CHI,WES-74,West Germany 1974,1,1,3,Chile,3,0,2,1,1,2,-1,2,Eliminated,
113,AUS,WES-74,West Germany 1974,1,1,4,Australia,3,0,1,2,0,5,-5,1,Eliminated,
114,YUG,WES-74,West Germany 1974,2,1,1,Yugoslavia,3,1,2,0,10,1,9,4,Advanced,
115,BRA,WES-74,West Germany 1974,2,1,2,Brazil,3,1,2,0,3,0,3,4,Advanced,
116,SCO,WES-74,West Germany 1974,2,1,3,Scotland,3,1,2,0,3,1,2,4,Eliminated,
117,ZAI,WES-74,West Germany 1974,2,1,4,Zaire,3,0,0,3,0,14,-14,0,Eliminated,
118,NET,WES-74,West Germany 1974,3,1,1,Netherlands,3,2,1,0,6,1,5,5,Advanced,
119,SWE,WES-74,West Germany 1974,3,1,2,Sweden,3,1,2,0,3,0,3,4,Advanced,
120,BUL,WES-74,West Germany 1974,3,1,3,Bulgaria,3,0,2,1,2,5,-3,2,Eliminated,
121,URU,WES-74,West Germany 1974,3,1,4,Uruguay,3,0,1,2,1,6,-5,1,Eliminated,
122,POL,WES-74,West Germany 1974,4,1,1,Poland,3,3,0,0,12,3,9,6,Advanced,
123,ARG,WES-74,West Germany 1974,4,1,2,Argentina,3,1,1,1,7,5,2,3,Advanced,
124,ITA,WES-74,West Germany 1974,4,1,3,Italy,3,1,1,1,5,4,1,3,Eliminated,
125,HAI,WES-74,West Germany 1974,4,1,4,Haiti,3,0,0,3,2,14,-12,0,Eliminated,
126,NET,WES-74,West Germany 1974,A,2,1,Netherlands,3,3,0,0,8,0,8,6,Advanced,
127,BRA,WES-74,West Germany 1974,A,2,2,Brazil,3,2,0,1,3,3,0,4,Advanced,
128,EAS,WES-74,West Germany 1974,A,2,3,East Germany,3,0,1,2,1,4,-3,1,Eliminated,
129,ARG,WES-74,West Germany 1974,A,2,4,Argentina,3,0,1,2,2,7,-5,1,Eliminated,
130,WES,WES-74,West Germany 1974,B,2,1,West Germany,3,3,0,0,7,2,5,6,Advanced,
131,POL,WES-74,West Germany 1974,B,2,2,Poland,3,2,0,1,3,2,1,4,Advanced,
132,SWE,WES-74,West Germany 1974,B,2,3,Sweden,3,1,0,2,4,6,-2,2,Eliminated,
133,YUG,WES-74,West Germany 1974,B,2,4,Yugoslavia,3,0,0,3,2,6,-4,0,Eliminated,
134,ITA,ARG-78,Argentina 1978,1,1,1,Italy,3,3,0,0,6,2,4,6,Advanced,
135,ARG,ARG-78,Argentina 1978,1,1,2,Argentina,3,2,0,1,4,3,1,4,Advanced,
136,FRA,ARG-78,Argentina 1978,1,1,3,France,3,1,0,2,5,5,0,2,Eliminated,
137,HUN,ARG-78,Argentina 1978,1,1,4,Hungary,3,0,0,3,3,8,-5,0,Eliminated,
138,POL,ARG-78,Argentina 1978,2,1,1,Poland,3,2,1,0,4,1,3,5,Advanced,
139,WES,ARG-78,Argentina 1978,2,1,2,West Germany,3,1,2,0,6,0,6,4,Advanced,
140,TUN,ARG-78,Argentina 1978,2,1,3,Tunisia,3,1,1,1,3,2,1,3,Eliminated,
141,MEX,ARG-78,Argentina 1978,2,1,4,Mexico,3,0,0,3,2,12,-10,0,Eliminated,
142,AUT,ARG-78,Argentina 1978,3,1,1,Austria,3,2,0,1,3,2,1,4,Advanced,
143,BRA,ARG-78,Argentina 1978,3,1,2,Brazil,3,1,2,0,2,1,1,4,Advanced,
144,SPA,ARG-78,Argentina 1978,3,1,3,Spain,3,1,1,1,2,2,0,3,Eliminated,
145,SWE,ARG-78,Argentina 1978,3,1,4,Sweden,3,0,1,2,1,3,-2,1,Eliminated,
146,PER,ARG-78,Argentina 1978,4,1,1,Peru,3,2,1,0,7,2,5,5,Advanced,
147,NET,ARG-78,Argentina 1978,4,1,2,Netherlands,3,1,1,1,5,3,2,3,Advanced,
148,SCO,ARG-78,Argentina 1978,4,1,3,Scotland,3,1,1,1,5,6,-1,3,Eliminated,
149,IRA,ARG-78,Argentina 1978,4,1,4,Iran,3,0,1,2,2,8,-6,1,Eliminated,
150,NET,ARG-78,Argentina 1978,A,2,1,Netherlands,3,2,1,0,9,4,5,5,Advanced,
151,ITA,ARG-78,Argentina 1978,A,2,2,Italy,3,1,1,1,2,2,0,3,Advanced,
152,WES,ARG-78,Argentina 1978,A,2,3,West Germany,3,0,2,1,4,5,-1,2,Eliminated,
153,AUT,ARG-78,Argentina 1978,A,2,4,Austria,3,1,0,2,4,8,-4,2,Eliminated,
154,ARG,ARG-78,Argentina 1978,B,2,1,Argentina,3,2,1,0,8,0,8,5,Advanced,
155,BRA,ARG-78,Argentina 1978,B,2,2,Brazil,3,2,1,0,6,1,5,5,Advanced,
156,POL,ARG-78,Argentina 1978,B,2,3,Poland,3,1,0,2,2,5,-3,2,Eliminated,
157,PER,ARG-78,Argentina 1978,B,2,4,Peru,3,0,0,3,0,10,-10,0,Eliminated,
158,POL,SPA-82,Spain 1982,1,1,1,Poland,3,1,2,0,5,1,4,4,Advanced,
159,ITA,SPA-82,Spain 1982,1,1,2,Italy,3,0,3,0,2,2,0,3,Advanced,
160,CAM,SPA-82,Spain 1982,1,1,3,Cameroon,3,0,3,0,1,1,0,3,Eliminated,
161,PER,SPA-82,Spain 1982,1,1,4,Peru,3,0,2,1,2,6,-4,2,Eliminated,
